web_scraper_order,web_scraper_start_url,nom,prix,adresse,urls_images
"1767042573-1","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Lapins","25 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5693264_uploaded_image1_1766935865.jpg"
"1767042573-2","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeons","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5674944_uploaded_image1_1765881198.jpg"
"1767042573-3","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeon King","60 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5669544_uploaded_image1_1765545674.jpg"
"1767042573-4","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poulettes pré ponte de 124 jours","5 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5655142_uploaded_image2_1764832679.jpeg"
"1767042573-5","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poussin goliath","300CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5648409_uploaded_image1_1764510412.jpg"
"1767042573-6","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poulet Goliath","Prix sur demande","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5648319_uploaded_image1_1764504900.jpg"
"1767042573-7","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeon Voyageur","20 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_5642510_uploaded_image1_1764173213.jpg"
"1767042573-8","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poule Brahman","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5594420_uploaded_image1_1761683034.jpg"
"1767042573-9","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Femmel cailloute","30 000CFA","Mariste, Dakar, Sénégal","https://images.coinafrique.com/thumb_5587969_uploaded_image1_1761236540.jpg"
"1767042573-10","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poule Brahman","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5577027_uploaded_image1_1760621886.jpg"
"1767042573-11","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Lapin","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5572908_uploaded_image1_1760428902.jpg"
"1767042573-12","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeons mondain","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5572903_uploaded_image1_1760428699.jpg"
"1767042573-13","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Couple  Mondain","130 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_5541428_uploaded_image1_1758715216.jpg"
"1767042573-14","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeon","15 000CFA","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_5521622_uploaded_image1_1757666321.jpg"
"1767042573-15","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Lapin","40 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5514578_uploaded_image2_1757331557.jpeg"
"1767042573-16","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeon Mondain","120 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5507608_uploaded_image1_1756942600.jpg"
"1767042573-17","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeon Mondain","120 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5507606_uploaded_image1_1756942550.jpg"
"1767042573-18","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeons","100 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5458528_uploaded_image1_1754315737.jpg"
"1767042573-19","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Cochin caillouté","Prix sur demande","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5497195_uploaded_image1_1756395052.jpg"
"1767042573-20","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Couples texans pionniers","40 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5497183_uploaded_image1_1756394350.jpg"
"1767042573-21","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Couple Mondain","100 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5497172_uploaded_image1_1756394052.jpg"
"1767042573-22","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Couple Manteau noir","15 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5497155_uploaded_image1_1756393487.jpg"
"1767042573-23","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeon culbtant volga","30 000CFA","Fatick, Sénégal","https://images.coinafrique.com/thumb_5497140_uploaded_image1_1756393034.jpg"
"1767042573-24","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeon Lahore Levante","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_5486667_uploaded_image1_1755797873.jpg"
"1767042573-25","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeon Beauté Allemande","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_5486666_uploaded_image1_1755797791.jpg"
"1767042573-26","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Lapin","35 000CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5465434_uploaded_image1_1754648894.jpg"
"1767042573-27","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Lapin Métis Californien","25 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5437884_uploaded_image1_1753306013.jpg"
"1767042573-28","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Brahman herminé","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5435588_uploaded_image1_1753200754.jpg"
"1767042573-29","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poussins frisés","15 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5430818_uploaded_image1_1752929676.jpg"
"1767042573-30","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poussins brahma blanc herminé","25 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_5414572_uploaded_image1_1752060211.jpg"
"1767042573-31","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poussins brahmas importés","10 000CFA","Diamalaye 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5404325_uploaded_image1_1751544553.jpg"
"1767042573-32","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poussins frisés","15 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5402124_uploaded_image1_1751450050.jpg"
"1767042573-33","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poussins frisés","15 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5402120_uploaded_image1_1751449791.jpg"
"1767042573-34","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Coqs colorés","8 000CFA","Biscuiterie, Dakar, Sénégal","https://images.coinafrique.com/thumb_5394586_uploaded_image1_1751020727.jpg"
"1767042573-35","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poulet pondeuses","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_5393356_uploaded_image1_1750945446.jpg"
"1767042573-36","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Lapins","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_5384185_uploaded_image1_1750435313.jpg"
"1767042573-37","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Couple voyageur","15 000CFA","Mariste, Dakar, Sénégal","https://images.coinafrique.com/thumb_5381347_uploaded_image1_1750286641.jpg"
"1767042573-38","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Lapin Métis californien","15 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5364052_uploaded_image1_1749295289.jpg"
"1767042573-39","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poulet Padovani","45 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_5353407_uploaded_image1_1748690625.jpg"
"1767042573-40","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poussins Brahma","Prix sur demande","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5352324_uploaded_image1_1748613214.jpg"
"1767042573-41","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Lapins Métis Californien","10 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5350705_uploaded_image1_1748514803.jpg"
"1767042573-42","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poulet","50 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5344600_uploaded_image1_1748179147.jpg"
"1767042573-43","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","couple mondain adulte 2024","200 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5337087_uploaded_image1_1747753115.jpg"
"1767042573-44","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Couple Braman Hermine","90 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5329879_uploaded_image1_1747329681.jpg"
"1767042573-45","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Couple Braman Hermine","90 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5329869_uploaded_image1_1747329370.jpg"
"1767042573-46","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Dindon","Prix sur demande","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5323572_uploaded_image1_1747046013.jpg"
"1767042573-47","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeon voyageur","Prix sur demande","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5323552_uploaded_image1_1747045029.jpg"
